Date,Open,High,Low,Close,Adj Close,Volume
2017-05-16,7.430000,7.500000,7.381000,7.440000,6.246922,19160943
2017-05-17,7.379000,7.444000,7.249000,7.300000,6.129372,27435077
2017-05-18,7.240000,7.330000,7.135000,7.240000,6.078993,35561958
2017-05-19,7.256000,7.423000,7.256000,7.414000,6.225091,48959780
2017-05-22,7.420000,7.434000,7.304000,7.328000,6.152882,20036836
2017-05-23,7.278000,7.538000,7.267000,7.479000,6.279667,19983343
2017-05-24,7.505000,7.540000,7.433000,7.487000,6.286384,18111830
2017-05-25,7.550000,7.588000,7.462000,7.478000,6.278828,14684647
2017-05-26,7.459000,7.459000,7.285000,7.450000,6.255318,20103419
2017-05-29,7.386000,7.500000,7.386000,7.485000,6.284705,10302689
2017-05-30,7.392000,7.505000,7.306000,7.362000,6.181429,32717890
2017-05-31,7.383000,7.437000,7.252000,7.252000,6.089069,28350402
2017-06-01,7.270000,7.278000,7.145000,7.216000,6.058842,32453775
2017-06-02,7.317000,7.384000,7.211000,7.239000,6.078153,22108889
2017-06-05,7.223000,7.298000,7.179000,7.253000,6.089909,12810554
2017-06-06,7.208000,7.234000,7.152000,7.185000,6.032813,26038606
2017-06-07,7.248000,7.425000,7.180000,7.331000,6.155401,33769977
2017-06-08,7.333000,7.485000,7.300000,7.444000,6.250279,39227134
2017-06-09,7.406000,7.580000,7.333000,7.458000,6.262035,23205306
2017-06-12,7.426000,7.457000,7.316000,7.350000,6.171354,35685831
2017-06-13,7.345000,7.483000,7.340000,7.417000,6.227609,22178159
2017-06-14,7.440000,7.515000,7.283000,7.310000,6.137768,32783255
2017-06-15,7.315000,7.317000,7.170000,7.297000,6.126853,40063685
2017-06-16,7.334000,7.380000,7.220000,7.311000,6.138608,83332177
2017-06-19,7.381000,7.459000,7.360000,7.410000,6.221732,30024329
2017-06-20,7.468000,7.472000,7.320000,7.342000,6.164637,15441546
2017-06-21,7.310000,7.355000,7.196000,7.339000,6.162117,18671841
2017-06-22,7.300000,7.335000,7.215000,7.312000,6.139447,29978209
2017-06-23,7.273000,7.356000,7.225000,7.238000,6.077313,12263283
2017-06-26,7.270000,7.387000,7.263000,7.310000,6.137768,14022473
2017-06-27,7.305000,7.411000,7.283000,7.374000,6.191505,33920075
2017-06-28,7.350000,7.495000,7.290000,7.478000,6.278828,33297286
2017-06-29,7.513000,7.610000,7.385000,7.401000,6.214175,30285954
2017-06-30,7.424000,7.483000,7.259000,7.265000,6.099984,25194599
2017-07-03,7.341000,7.509000,7.320000,7.509000,6.304856,20405931
2017-07-04,7.441000,7.530000,7.423000,7.460000,6.263713,47661858
2017-07-05,7.459000,7.570000,7.438000,7.464000,6.267073,23387740
2017-07-06,7.500000,7.540000,7.392000,7.521000,6.314931,22371111
2017-07-07,7.508000,7.557000,7.464000,7.531000,6.323329,17632038
2017-07-10,7.570000,7.587000,7.466000,7.522000,6.315771,14096802
2017-07-11,7.550000,7.567000,7.488000,7.521000,6.314931,26138041
2017-07-12,7.558000,7.564000,7.492000,7.515000,6.309894,14191083
2017-07-13,7.560000,7.680000,7.559000,7.655000,6.427444,20122180
2017-07-14,7.680000,7.767000,7.628000,7.678000,6.446755,26374296
2017-07-17,7.709000,7.709000,7.576000,7.633000,6.408972,27085143
2017-07-18,7.618000,7.661000,7.458000,7.489000,6.288064,18116751
2017-07-19,7.512000,7.518000,7.375000,7.507000,6.303177,43415049
2017-07-20,7.530000,7.586000,7.485000,7.530000,6.322488,39857835
2017-07-21,7.515000,7.515000,7.361000,7.421000,6.230968,28569674
2017-07-24,7.450000,7.538000,7.366000,7.514000,6.309055,21909955
2017-07-25,7.495000,7.749000,7.491000,7.666000,6.436679,27989172
2017-07-26,7.643000,7.699000,7.593000,7.670000,6.440038,15361164
2017-07-27,7.590000,7.740000,7.590000,7.702000,6.466907,16396808
2017-07-28,7.685000,7.725000,7.604000,7.708000,6.471945,29133285
2017-07-31,7.702000,7.755000,7.628000,7.651000,6.424085,19451185
2017-08-01,7.800000,7.810000,7.680000,7.765000,6.519804,19199004
2017-08-02,7.804000,7.820000,7.689000,7.747000,6.504691,19821707
2017-08-03,7.727000,7.818000,7.641000,7.818000,6.564305,24628650
2017-08-04,7.761000,7.877000,7.753000,7.834000,6.577740,18924428
2017-08-07,7.860000,7.880000,7.834000,7.869000,6.607126,9724406
2017-08-08,7.860000,7.932000,7.850000,7.925000,6.654147,21632574
2017-08-09,7.851000,7.885000,7.651000,7.727000,6.487898,25000652
2017-08-10,7.700000,7.731000,7.545000,7.592000,6.374547,24801527
2017-08-11,7.514000,7.570000,7.375000,7.452000,6.256997,24302903
2017-08-14,7.488000,7.621000,7.488000,7.580000,6.364470,29793133
2017-08-15,7.630000,7.647000,7.585000,7.640000,6.414849,9924040
2017-08-16,7.685000,7.729000,7.665000,7.665000,6.435840,11093672
2017-08-17,7.627000,7.630000,7.475000,7.519000,6.313253,20429555
2017-08-18,7.420000,7.513000,7.390000,7.503000,6.299819,28185546
2017-08-21,7.450000,7.525000,7.422000,7.438000,6.245243,8994525
2017-08-22,7.500000,7.556000,7.469000,7.510000,6.305696,15806305
2017-08-23,7.528000,7.564000,7.396000,7.420000,6.230129,12302052
2017-08-24,7.462000,7.539000,7.436000,7.475000,6.276309,10835234
2017-08-25,7.508000,7.549000,7.460000,7.460000,6.263713,6165181
2017-08-28,7.428000,7.496000,7.409000,7.432000,6.240204,5217450
2017-08-29,7.395000,7.407000,7.295000,7.321000,6.147004,23603209
2017-08-30,7.375000,7.386000,7.303000,7.339000,6.162117,15792739
2017-08-31,7.375000,7.487000,7.366000,7.422000,6.231808,20954723
2017-09-01,7.448000,7.489000,7.390000,7.434000,6.241883,9361050
2017-09-04,7.339000,7.396000,7.339000,7.371000,6.188986,7530276
2017-09-05,7.370000,7.408000,7.226000,7.242000,6.080672,17508488
2017-09-06,7.214000,7.270000,7.155000,7.234000,6.073956,14742761
2017-09-07,7.278000,7.303000,7.171000,7.193000,6.039530,37463382
2017-09-08,7.150000,7.266000,7.121000,7.174000,6.023578,18017782
2017-09-11,7.231000,7.391000,7.230000,7.368000,6.186467,15817198
2017-09-12,7.412000,7.433000,7.374000,7.401000,6.214175,18983786
2017-09-13,7.415000,7.484000,7.393000,7.435000,6.242723,19174879
2017-09-14,7.410000,7.459000,7.360000,7.439000,6.246082,13263567
2017-09-15,7.414000,7.474000,7.334000,7.377000,6.194024,52400382
2017-09-18,7.420000,7.474000,7.400000,7.414000,6.225091,48625209
2017-09-19,7.415000,7.496000,7.410000,7.460000,6.263713,36189311
2017-09-20,7.460000,7.485000,7.334000,7.378000,6.194863,29646250
2017-09-21,7.419000,7.545000,7.410000,7.504000,6.300658,21087600
2017-09-22,7.500000,7.554000,7.476000,7.507000,6.303177,13294063
2017-09-25,7.470000,7.492000,7.330000,7.366000,6.184788,21853564
2017-09-26,7.367000,7.387000,7.310000,7.346000,6.167996,57388617
2017-09-27,7.380000,7.558000,7.366000,7.502000,6.298979,20852654
